南瓜燈	南瓜燈 🎃
斐濟國旗	斐濟國旗 🇫🇯
福克蘭	福克蘭 🇫🇰
福克蘭群島	福克蘭群島 🇫🇰
密克羅尼西亞	密克羅尼西亞 🇫🇲
密克羅尼西亞國旗	密克羅尼西亞國旗 🇫🇲
法羅群島	法羅群島 🇫🇴
法羅	法羅 🇫🇴
法國	法國 🇫🇷
法國國旗	法國國旗 🇫🇷
加蓬	加蓬 🇬🇦
加蓬國旗	加蓬國旗 🇬🇦
英國	英國 🇬🇧
英國國旗	英國國旗 🇬🇧
格林納達	格林納達 🇬🇩
格林納達國旗	格林納達國旗 🇬🇩
喬治亞	喬治亞 🇬🇪
喬治亞國旗	喬治亞國旗 🇬🇪
法屬圭亞那	法屬圭亞那 🇬🇫
圭亞那	圭亞那 🇬🇫 🇬🇾
根西	根西 🇬🇬
根西島	根西島 🇬🇬
加納	加納 🇬🇭
加納國旗	加納國旗 🇬🇭
直布羅陀	直布羅陀 🇬🇮
直布羅陀國旗	直布羅陀國旗 🇬🇮
格陵蘭	格陵蘭 🇬🇱
格陵蘭島	格陵蘭島 🇬🇱
岡比亞	岡比亞 🇬🇲
岡比亞國旗	岡比亞國旗 🇬🇲
幾內亞	幾內亞 🇬🇳
幾內亞國旗	幾內亞國旗 🇬🇳
瓜德羅普	瓜德羅普 🇬🇵
瓜德羅普島	瓜德羅普島 🇬🇵
赤道幾內亞	赤道幾內亞 🇬🇶
赤道幾內亞國旗	赤道幾內亞國旗 🇬🇶
希臘	希臘 🇬🇷
希臘國旗	希臘國旗 🇬🇷
南喬治亞南三明治	南喬治亞南三明治 🇬🇸
南喬治亞	南喬治亞 🇬🇸
南三明治	南三明治 🇬🇸
危地馬拉	危地馬拉 🇬🇹
危地馬拉國旗	危地馬拉國旗 🇬🇹
關島	關島 🇬🇺
關島國旗	關島國旗 🇬🇺
幾內亞比紹	幾內亞比紹 🇬🇼
幾內亞比紹國旗	幾內亞比紹國旗 🇬🇼
圭亞那國旗	圭亞那國旗 🇬🇾
香港	香港 🇭🇰
香港特別行政區	香港特別行政區 🇭🇰
赫德麥克唐納	赫德麥克唐納 🇭🇲
赫德島	赫德島 🇭🇲
麥克唐納島	麥克唐納島 🇭🇲
洪都拉斯	洪都拉斯 🇭🇳
洪都拉斯國旗	洪都拉斯國旗 🇭🇳
克羅地亞	克羅地亞 🇭🇷
克羅地亞國旗	克羅地亞國旗 🇭🇷
海地	海地 🇭🇹
海地國旗	海地國旗 🇭🇹
匈牙利	匈牙利 🇭🇺
匈牙利國旗	匈牙利國旗 🇭🇺
加那利群島	加那利群島 🇮🇨
加那利	加那利 🇮🇨
印尼	印尼 🇮🇩
印度尼西亞	印度尼西亞 🇮🇩
愛爾蘭	愛爾蘭 🇮🇪
愛爾蘭國旗	愛爾蘭國旗 🇮🇪
以色列	以色列 🇮🇱
以色列國旗	以色列國旗 🇮🇱
曼島	曼島 🇮🇲
曼島國旗	曼島國旗 🇮🇲
印度	印度 🇮🇳
印度國旗	印度國旗 🇮🇳
英屬印度洋	英屬印度洋 🇮🇴
英屬印度洋領地	英屬印度洋領地 🇮🇴
伊拉克	伊拉克 🇮🇶
伊拉克國旗	伊拉克國旗 🇮🇶
伊朗	伊朗 🇮🇷
伊朗國旗	伊朗國旗 🇮🇷
冰島	冰島 🇮🇸
冰島國旗	冰島國旗 🇮🇸
意大利	意大利 🇮🇹
意大利國旗	意大利國旗 🇮🇹
澤西	澤西 🇯🇪
澤西島	澤西島 🇯🇪
牙買加	牙買加 🇯🇲
牙買加國旗	牙買加國旗 🇯🇲
約旦	約旦 🇯🇴
約旦國旗	約旦國旗 🇯🇴
日本	日本 🇯🇵 🗾
日本國旗	日本國旗 🇯🇵
肯尼亞	肯尼亞 🇰🇪
肯尼亞國旗	肯尼亞國旗 🇰🇪
吉爾吉斯斯坦	吉爾吉斯斯坦 🇰🇬
吉爾吉斯斯坦國旗	吉爾吉斯斯坦國旗 🇰🇬
柬埔寨	柬埔寨 🇰🇭
柬埔寨國旗	柬埔寨國旗 🇰🇭
基里巴斯	基里巴斯 🇰🇮
基里巴斯國旗	基里巴斯國旗 🇰🇮
科摩羅	科摩羅 🇰🇲
科摩羅國旗	科摩羅國旗 🇰🇲
聖基茨尼維斯	聖基茨尼維斯 🇰🇳
聖基茨和尼維斯	聖基茨和尼維斯 🇰🇳
朝鮮	朝鮮 🇰🇵
朝鮮國旗	朝鮮國旗 🇰🇵
韓國	韓國 🇰🇷
韓國國旗	韓國國旗 🇰🇷
科威特	科威特 🇰🇼
科威特國旗	科威特國旗 🇰🇼
開曼群島	開曼群島 🇰🇾
開曼	開曼 🇰🇾
哈薩克斯坦	哈薩克斯坦 🇰🇿
哈薩克斯坦國旗	哈薩克斯坦國旗 🇰🇿
老撾	老撾 🇱🇦
老撾國旗	老撾國旗 🇱🇦
黎巴嫩	黎巴嫩 🇱🇧
黎巴嫩國旗	黎巴嫩國旗 🇱🇧
聖盧西亞	聖盧西亞 🇱🇨
聖盧西亞國旗	聖盧西亞國旗 🇱🇨
列支敦士登	列支敦士登 🇱🇮
列支敦士登國旗	列支敦士登國旗 🇱🇮
斯里蘭卡	斯里蘭卡 🇱🇰
斯里蘭卡國旗	斯里蘭卡國旗 🇱🇰
利比里亞	利比里亞 🇱🇷
利比里亞國旗	利比里亞國旗 🇱🇷
萊索托	萊索托 🇱🇸
萊索托國旗	萊索托國旗 🇱🇸
立陶宛	立陶宛 🇱🇹
立陶宛國旗	立陶宛國旗 🇱🇹
盧森堡	盧森堡 🇱🇺
盧森堡國旗	盧森堡國旗 🇱🇺
拉脫維亞	拉脫維亞 🇱🇻
拉脫維亞國旗	拉脫維亞國旗 🇱🇻
利比亞	利比亞 🇱🇾
利比亞國旗	利比亞國旗 🇱🇾
摩洛哥	摩洛哥 🇲🇦
摩洛哥國旗	摩洛哥國旗 🇲🇦
摩納哥	摩納哥 🇲🇨
摩納哥國旗	摩納哥國旗 🇲🇨
摩爾多瓦	摩爾多瓦 🇲🇩
摩爾多瓦國旗	摩爾多瓦國旗 🇲🇩
黑山	黑山 🇲🇪
黑山國旗	黑山國旗 🇲🇪
聖馬丁	聖馬丁 🇲🇫 🇸🇽
聖馬丁國旗	聖馬丁國旗 🇲🇫 🇸🇽
馬達加斯加	馬達加斯加 🇲🇬
馬達加斯加國旗	馬達加斯加國旗 🇲🇬
馬紹爾群島	馬紹爾群島 🇲🇭
馬紹爾	馬紹爾 🇲🇭
北馬其頓	北馬其頓 🇲🇰
北馬其頓國旗	北馬其頓國旗 🇲🇰
馬里	馬里 🇲🇱
馬里國旗	馬里國旗 🇲🇱
緬甸	緬甸 🇲🇲
緬甸國旗	緬甸國旗 🇲🇲
蒙古	蒙古 🇲🇳
蒙古國旗	蒙古國旗 🇲🇳
澳門	澳門 🇲🇴
澳門特別行政區	澳門特別行政區 🇲🇴
北馬里亞納群島	北馬里亞納群島 🇲🇵
北馬里亞納	北馬里亞納 🇲🇵
馬提尼克	馬提尼克 🇲🇶
馬提尼克島	馬提尼克島 🇲🇶
毛里塔尼亞	毛里塔尼亞 🇲🇷
毛里塔尼亞國旗	毛里塔尼亞國旗 🇲🇷
蒙特塞拉特	蒙特塞拉特 🇲🇸
蒙特塞拉特島	蒙特塞拉特島 🇲🇸
馬耳他	馬耳他 🇲🇹
馬耳他國旗	馬耳他國旗 🇲🇹
毛里求斯	毛里求斯 🇲🇺
毛里求斯國旗	毛里求斯國旗 🇲🇺
馬爾代夫	馬爾代夫 🇲🇻
馬爾代夫國旗	馬爾代夫國旗 🇲🇻
馬拉維	馬拉維 🇲🇼
馬拉維國旗	馬拉維國旗 🇲🇼
墨西哥	墨西哥 🇲🇽
墨西哥國旗	墨西哥國旗 🇲🇽
馬來西亞	馬來西亞 🇲🇾
馬來西亞國旗	馬來西亞國旗 🇲🇾
莫桑比克	莫桑比克 🇲🇿
莫桑比克國旗	莫桑比克國旗 🇲🇿
納米比亞	納米比亞 🇳🇦
納米比亞國旗	納米比亞國旗 🇳🇦
新喀里多尼亞	新喀里多尼亞 🇳🇨
新喀里多尼亞群島	新喀里多尼亞群島 🇳🇨
尼日爾	尼日爾 🇳🇪
尼日爾國旗	尼日爾國旗 🇳🇪
諾福克島	諾福克島 🇳🇫
諾福克	諾福克 🇳🇫
尼日利亞	尼日利亞 🇳🇬
尼日利亞國旗	尼日利亞國旗 🇳🇬
尼加拉瓜	尼加拉瓜 🇳🇮
尼加拉瓜國旗	尼加拉瓜國旗 🇳🇮
荷蘭	荷蘭 🇳🇱
荷蘭國旗	荷蘭國旗 🇳🇱
挪威	挪威 🇳🇴
挪威國旗	挪威國旗 🇳🇴
尼泊爾	尼泊爾 🇳🇵
尼泊爾國旗	尼泊爾國旗 🇳🇵
瑙魯	瑙魯 🇳🇷
瑙魯國旗	瑙魯國旗 🇳🇷
紐埃	紐埃 🇳🇺
紐埃國旗	紐埃國旗 🇳🇺
新西蘭	新西蘭 🇳🇿
新西蘭國旗	新西蘭國旗 🇳🇿
阿曼	阿曼 🇴🇲
阿曼國旗	阿曼國旗 🇴🇲
巴拿馬	巴拿馬 🇵🇦
巴拿馬國旗	巴拿馬國旗 🇵🇦
秘魯	秘魯 🇵🇪
秘魯國旗	秘魯國旗 🇵🇪
法屬波利尼西亞	法屬波利尼西亞 🇵🇫
波利尼西亞	波利尼西亞 🇵🇫
巴布亞新幾內亞	巴布亞新幾內亞 🇵🇬
新幾內亞	新幾內亞 🇵🇬
菲律賓	菲律賓 🇵🇭
菲律賓國旗	菲律賓國旗 🇵🇭
巴基斯坦	巴基斯坦 🇵🇰
巴基斯坦國旗	巴基斯坦國旗 🇵🇰
波蘭	波蘭 🇵🇱
波蘭國旗	波蘭國旗 🇵🇱
聖皮埃爾密克隆	聖皮埃爾密克隆 🇵🇲
聖皮埃爾	聖皮埃爾 🇵🇲
密克隆	密克隆 🇵🇲
皮特凱恩群島	皮特凱恩群島 🇵🇳
皮特凱恩	皮特凱恩 🇵🇳
波多黎各	波多黎各 🇵🇷
波多黎各國旗	波多黎各國旗 🇵🇷
巴勒斯坦	巴勒斯坦 🇵🇸
巴勒斯坦國旗	巴勒斯坦國旗 🇵🇸
葡萄牙	葡萄牙 🇵🇹
葡萄牙國旗	葡萄牙國旗 🇵🇹
帕勞	帕勞 🇵🇼
帕勞國旗	帕勞國旗 🇵🇼
巴拉圭	巴拉圭 🇵🇾
巴拉圭國旗	巴拉圭國旗 🇵🇾
卡塔爾	卡塔爾 🇶🇦
卡塔爾國旗	卡塔爾國旗 🇶🇦
留尼汪	留尼汪 🇷🇪
留尼汪島	留尼汪島 🇷🇪
羅馬尼亞	羅馬尼亞 🇷🇴
羅馬尼亞國旗	羅馬尼亞國旗 🇷🇴
塞爾維亞	塞爾維亞 🇷🇸
塞爾維亞國旗	塞爾維亞國旗 🇷🇸
俄羅斯	俄羅斯 🇷🇺
俄羅斯國旗	俄羅斯國旗 🇷🇺
盧旺達	盧旺達 🇷🇼
盧旺達國旗	盧旺達國旗 🇷🇼
沙特	沙特 🇸🇦
沙特阿拉伯	沙特阿拉伯 🇸🇦
所羅門群島	所羅門群島 🇸🇧
所羅門	所羅門 🇸🇧
塞舌爾	塞舌爾 🇸🇨
塞舌爾群島	塞舌爾群島 🇸🇨
蘇丹	蘇丹 🇸🇩
蘇丹國旗	蘇丹國旗 🇸🇩
瑞典	瑞典 🇸🇪
瑞典國旗	瑞典國旗 🇸🇪
新加坡	新加坡 🇸🇬
新加坡國旗	新加坡國旗 🇸🇬
聖赫勒拿	聖赫勒拿 🇸🇭
聖赫勒拿島	聖赫勒拿島 🇸🇭
斯洛文尼亞	斯洛文尼亞 🇸🇮
斯洛文尼亞國旗	斯洛文尼亞國旗 🇸🇮
斯瓦爾巴揚馬延	斯瓦爾巴揚馬延 🇸🇯
斯瓦爾巴	斯瓦爾巴 🇸🇯
揚馬延	揚馬延 🇸🇯
斯洛伐克	斯洛伐克 🇸🇰
斯洛伐克國旗	斯洛伐克國旗 🇸🇰
塞拉利昂	塞拉利昂 🇸🇱
塞拉利昂國旗	塞拉利昂國旗 🇸🇱
聖馬力諾	聖馬力諾 🇸🇲
聖馬力諾國旗	聖馬力諾國旗 🇸🇲
塞內加爾	塞內加爾 🇸🇳
塞內加爾國旗	塞內加爾國旗 🇸🇳
索馬里	索馬里 🇸🇴
索馬里國旗	索馬里國旗 🇸🇴
蘇里南	蘇里南 🇸🇷
蘇里南國旗	蘇里南國旗 🇸🇷
南蘇丹	南蘇丹 🇸🇸
南蘇丹國旗	南蘇丹國旗 🇸🇸
聖多美普林西比	聖多美普林西比 🇸🇹
聖多美	聖多美 🇸🇹
普林西比	普林西比 🇸🇹
薩爾瓦多	薩爾瓦多 🇸🇻
薩爾瓦多國旗	薩爾瓦多國旗 🇸🇻
敘利亞	敘利亞 🇸🇾
敘利亞國旗	敘利亞國旗 🇸🇾
斯威士蘭	斯威士蘭 🇸🇿
斯威士蘭國旗	斯威士蘭國旗 🇸🇿
特里斯坦達庫尼亞	特里斯坦達庫尼亞 🇹🇦
特里斯坦	特里斯坦 🇹🇦
達庫尼亞	達庫尼亞 🇹🇦
特克斯凱科斯群島	特克斯凱科斯群島 🇹🇨
特克斯	特克斯 🇹🇨
凱科斯	凱科斯 🇹🇨
乍得	乍得 🇹🇩
乍得國旗	乍得國旗 🇹🇩
法屬南部領地	法屬南部領地 🇹🇫
南部領地	南部領地 🇹🇫
多哥	多哥 🇹🇬
多哥國旗	多哥國旗 🇹🇬
泰國	泰國 🇹🇭
泰國國旗	泰國國旗 🇹🇭
塔吉克斯坦	塔吉克斯坦 🇹🇯
塔吉克斯坦國旗	塔吉克斯坦國旗 🇹🇯
托克勞	托克勞 🇹🇰
托克勞群島	托克勞群島 🇹🇰
東帝汶	東帝汶 🇹🇱
東帝汶國旗	東帝汶國旗 🇹🇱
土庫曼斯坦	土庫曼斯坦 🇹🇲
土庫曼斯坦國旗	土庫曼斯坦國旗 🇹🇲
突尼斯	突尼斯 🇹🇳
突尼斯國旗	突尼斯國旗 🇹🇳
湯加	湯加 🇹🇴
湯加國旗	湯加國旗 🇹🇴
土耳其	土耳其 🇹🇷
土耳其國旗	土耳其國旗 🇹🇷
特立尼達多巴哥	特立尼達多巴哥 🇹🇹
特立尼達	特立尼達 🇹🇹
多巴哥	多巴哥 🇹🇹
圖瓦盧	圖瓦盧 🇹🇻
圖瓦盧國旗	圖瓦盧國旗 🇹🇻
台灣	台灣 🇹🇼
台灣國旗	台灣國旗 🇹🇼
坦桑尼亞	坦桑尼亞 🇹🇿
坦桑尼亞國旗	坦桑尼亞國旗 🇹🇿
烏克蘭	烏克蘭 🇺🇦
烏克蘭國旗	烏克蘭國旗 🇺🇦
烏干達	烏干達 🇺🇬
烏干達國旗	烏干達國旗 🇺🇬
美國邊遠島嶼	美國邊遠島嶼 🇺🇲
邊遠島嶼	邊遠島嶼 🇺🇲
聯合國	聯合國 🇺🇳
聯合國旗幟	聯合國旗幟 🇺🇳
美國	美國 🇺🇸 🌎
美國國旗	美國國旗 🇺🇸
烏拉圭	烏拉圭 🇺🇾
烏拉圭國旗	烏拉圭國旗 🇺🇾
烏茲別克斯坦	烏茲別克斯坦 🇺🇿
烏茲別克斯坦國旗	烏茲別克斯坦國旗 🇺🇿
梵蒂岡	梵蒂岡 🇻🇦
梵蒂岡國旗	梵蒂岡國旗 🇻🇦
聖文森特格林納丁斯	聖文森特格林納丁斯 🇻🇨
聖文森特	聖文森特 🇻🇨
格林納丁斯	格林納丁斯 🇻🇨
委內瑞拉	委內瑞拉 🇻🇪
委內瑞拉國旗	委內瑞拉國旗 🇻🇪
英屬維爾京群島	英屬維爾京群島 🇻🇬
維爾京群島	維爾京群島 🇻🇬 🇻🇮
美屬維爾京群島	美屬維爾京群島 🇻🇮
越南	越南 🇻🇳
越南國旗	越南國旗 🇻🇳
瓦努阿圖	瓦努阿圖 🇻🇺
瓦努阿圖國旗	瓦努阿圖國旗 🇻🇺
瓦利斯富圖納	瓦利斯富圖納 🇼🇫
瓦利斯	瓦利斯 🇼🇫
富圖納	富圖納 🇼🇫
薩摩亞國旗	薩摩亞國旗 🇼🇸
科索沃	科索沃 🇽🇰
科索沃國旗	科索沃國旗 🇽🇰
也門	也門 🇾🇪
也門國旗	也門國旗 🇾🇪
馬約特	馬約特 🇾🇹
馬約特島	馬約特島 🇾🇹
南非	南非 🇿🇦
南非國旗	南非國旗 🇿🇦
贊比亞	贊比亞 🇿🇲
贊比亞國旗	贊比亞國旗 🇿🇲
津巴布韋	津巴布韋 🇿🇼
津巴布韋國旗	津巴布韋國旗 🇿🇼
英格蘭	英格蘭 🏴󠁧󠁢󠁥󠁮󠁧󠁿
英格蘭國旗	英格蘭國旗 🏴󠁧󠁢󠁥󠁮󠁧󠁿
蘇格蘭	蘇格蘭 🏴󠁧󠁢󠁳󠁣󠁴󠁿
蘇格蘭國旗	蘇格蘭國旗 🏴󠁧󠁢󠁳󠁣󠁴󠁿
威爾士	威爾士 🏴󠁧󠁢󠁷󠁬󠁳󠁿
威爾士國旗	威爾士國旗 🏴󠁧󠁢󠁷󠁬󠁳󠁿
葡萄	葡萄 🍇
紫葡萄	紫葡萄 🍇
果實	果實 🍇 🍏 🍈 🍉 🍊 🍋 🍋‍🟩 🍌 🍍 🥭 🍎 🍐 🍑 🍒 🍓 🫐 🥝 🍅 🫒 🥥
哈密瓜	哈密瓜 🍈
香瓜	香瓜 🍈
瓜類	瓜類 🍈
西瓜	西瓜 🍉
大西瓜	大西瓜 🍉
瓜果	瓜果 🍉
橘子	橘子 🍊
柑橘	柑橘 🍊
小橘	小橘 🍊
檸檬	檸檬 🍋
黃檸檬	黃檸檬 🍋
酸檸檬	酸檸檬 🍋
萊姆	萊姆 🍋‍🟩
青檸檬	青檸檬 🍋‍🟩
酸檸	酸檸 🍋‍🟩
香蕉	香蕉 🍌
黃香蕉	黃香蕉 🍌
果蕉	果蕉 🍌
鳳梨	鳳梨 🍍
菠蘿	菠蘿 🍍
黃果	黃果 🍍
芒果	芒果 🥭
黃芒果	黃芒果 🥭
熱帶果	熱帶果 🥭 🥥
紅蘋果	紅蘋果 🍎
蘋果	蘋果 🍎
果子	果子 🍎
青蘋果	青蘋果 🍏
綠蘋果	綠蘋果 🍏
梨	梨 🍐
水梨	水梨 🍐
黃梨	黃梨 🍐
桃子	桃子 🍑
水蜜桃	水蜜桃 🍑
果桃	果桃 🍑
櫻桃	櫻桃 🍒
紅櫻桃	紅櫻桃 🍒
小果	小果 🍒
草莓	草莓 🍓
紅莓	紅莓 🍓
小莓	小莓 🍓
藍莓	藍莓 🫐
小藍莓	小藍莓 🫐
果莓	果莓 🫐
奇異果	奇異果 🥝
綠果	綠果 🥝
奇果	奇果 🥝
番茄	番茄 🍅
紅番茄	紅番茄 🍅
果茄	果茄 🍅 🍆
橄欖	橄欖 🫒
綠橄欖	綠橄欖 🫒
小橄欖	小橄欖 🫒
椰子	椰子 🥥
大椰子	大椰子 🥥
酪梨	酪梨 🥑
綠酪梨	綠酪梨 🥑
果酪	果酪 🥑
茄子	茄子 🍆
紫茄子	紫茄子 🍆
馬鈴薯	馬鈴薯 🥔
土豆	土豆 🥔
黃薯	黃薯 🥔
胡蘿蔔	胡蘿蔔 🥕
紅蘿蔔	紅蘿蔔 🥕
黃蘿蔔	黃蘿蔔 🥕
玉米	玉米 🌽
黃玉米	黃玉米 🌽
粟米	粟米 🌽
辣椒	辣椒 🌶️
紅辣椒	紅辣椒 🌶️
小辣椒	小辣椒 🌶️
甜椒	甜椒 🫑
青椒	青椒 🫑
紅椒	紅椒 🫑
小黃瓜	小黃瓜 🥒
綠黃瓜	綠黃瓜 🥒
青瓜	青瓜 🥒
綠葉菜	綠葉菜 🥬
青葉菜	青葉菜 🥬
葉菜	葉菜 🥬
花椰菜	花椰菜 🥦
綠花椰	綠花椰 🥦
白花椰	白花椰 🥦
大蒜	大蒜 🧄
白蒜	白蒜 🧄
蒜頭	蒜頭 🧄
洋蔥	洋蔥 🧅
白洋蔥	白洋蔥 🧅
紅洋蔥	紅洋蔥 🧅
花生	花生 🥜
小花生	小花生 🥜
果花	果花 🥜
豆子	豆子 🫘
紅豆	紅豆 🫘
綠豆	綠豆 🫘
栗子	栗子 🌰
棕栗子	棕栗子 🌰
小栗	小栗 🌰
薑	薑 🫚
生薑	生薑 🫚
黃薑	黃薑 🫚
豌豆	豌豆 🫛
青豌豆	青豌豆 🫛
小豌	小豌 🫛
棕菇	棕菇 🍄‍🟫
小棕菇	小棕菇 🍄‍🟫
菌菇	菌菇 🍄‍🟫
根菜	根菜 🫜
根類	根類 🫜
根蔬	根蔬 🫜
麵包	麵包 🍞
白麵包	白麵包 🍞
小麵包	小麵包 🍞
可頌	可頌 🥐
牛角麵包	牛角麵包 🥐
小可頌	小可頌 🥐
法棍	法棍 🥖
長麵包	長麵包 🥖
法式麵包	法式麵包 🥖
薄餅	薄餅 🫓
平麵餅	平麵餅 🫓
小薄餅	小薄餅 🫓
椒鹽捲餅	椒鹽捲餅 🥨
鹹餅	鹹餅 🥨
小捲餅	小捲餅 🥨 🌯
貝果	貝果 🥯
圓貝果	圓貝果 🥯
小貝果	小貝果 🥯
鬆餅	鬆餅 🥞
圓鬆餅	圓鬆餅 🥞
小鬆餅	小鬆餅 🥞
格子餅	格子餅 🧇
方格餅	方格餅 🧇
小格餅	小格餅 🧇
起司	起司 🧀
黃起司	黃起司 🧀
小起司	小起司 🧀
肉骨	肉骨 🍖
大肉骨	大肉骨 🍖
小肉骨	小肉骨 🍖
雞腿	雞腿 🍗
大雞腿	大雞腿 🍗
小雞腿	小雞腿 🍗
肉排	肉排 🥩
牛肉排	牛肉排 🥩
小肉排	小肉排 🥩
培根	培根 🥓
煎培根	煎培根 🥓
小培根	小培根 🥓
漢堡	漢堡 🍔
牛肉漢堡	牛肉漢堡 🍔
小漢堡	小漢堡 🍔
薯條	薯條 🍟
炸薯條	炸薯條 🍟
小薯條	小薯條 🍟
披薩	披薩 🍕
圓披薩	圓披薩 🍕
小披薩	小披薩 🍕
熱狗	熱狗 🌭
香腸麵包	香腸麵包 🌭
小熱狗	小熱狗 🌭
三明治	三明治 🥪
夾心麵包	夾心麵包 🥪
小三明治	小三明治 🥪
塔可	塔可 🌮
墨西哥餅	墨西哥餅 🌮
小塔可	小塔可 🌮
墨西哥捲	墨西哥捲 🌯
捲餅	捲餅 🌯
玉米粽	玉米粽 🫔
粽子	粽子 🫔
小玉米粽	小玉米粽 🫔
夾餅	夾餅 🥙
夾心餅	夾心餅 🥙
小夾餅	小夾餅 🥙
炸豆丸	炸豆丸 🧆
豆丸	豆丸 🧆
小豆丸	小豆丸 🧆
白雞蛋	白雞蛋 🥚
小雞蛋	小雞蛋 🥚
煎蛋	煎蛋 🍳
炒蛋	炒蛋 🍳
小煎蛋	小煎蛋 🍳
平底鍋菜	平底鍋菜 🥘
鍋菜	鍋菜 🥘 🍲
小鍋菜	小鍋菜 🥘 🍲
湯鍋菜	湯鍋菜 🍲
起司火鍋	起司火鍋 🫕
火鍋	火鍋 🫕
小火鍋	小火鍋 🫕
湯碗	湯碗 🥣
湯匙碗	湯匙碗 🥣
小湯碗	小湯碗 🥣
沙拉	沙拉 🥗
綠沙拉	綠沙拉 🥗
小沙拉	小沙拉 🥗
爆米花	爆米花 🍿
玉米花	玉米花 🍿
小爆米花	小爆米花 🍿
奶油	奶油 🧈
黃奶油	黃奶油 🧈
小奶油	小奶油 🧈
鹽	鹽 🧂
白鹽	白鹽 🧂
小鹽	小鹽 🧂
罐頭	罐頭 🥫
食品罐	食品罐 🥫
小罐頭	小罐頭 🥫
便當	便當 🍱
飯盒	飯盒 🍱 🥡
小便當	小便當 🍱
米餅	米餅 🍘
米果	米果 🍘
小米餅	小米餅 🍘
飯糰	飯糰 🍙
圓飯糰	圓飯糰 🍙
小飯糰	小飯糰 🍙
白飯	白飯 🍚
米飯	米飯 🍚
小白飯	小白飯 🍚
咖哩飯	咖哩飯 🍛
咖哩白飯	咖哩白飯 🍛
小咖哩飯	小咖哩飯 🍛
湯麵	湯麵 🍜
熱湯麵	熱湯麵 🍜
小湯麵	小湯麵 🍜
義大利麵	義大利麵 🍝
長麵	長麵 🍝
小義大利麵	小義大利麵 🍝
烤地瓜	烤地瓜 🍠
烤薯	烤薯 🍠
小地瓜	小地瓜 🍠
關東煮	關東煮 🍢
日式煮	日式煮 🍢
小關東煮	小關東煮 🍢
壽司	壽司 🍣
日式壽司	日式壽司 🍣
小壽司	小壽司 🍣
炸蝦	炸蝦 🍤
炸大蝦	炸大蝦 🍤
小炸蝦	小炸蝦 🍤
魚板	魚板 🍥
魚糕	魚糕 🍥
小魚板	小魚板 🍥
月餅	月餅 🥮
圓月餅	圓月餅 🥮
小月餅	小月餅 🥮
糯米糰	糯米糰 🍡
圓糰	圓糰 🍡
小糯米糰	小糯米糰 🍡
餃子	餃子 🥟
水餃	水餃 🥟
小餃子	小餃子 🥟
幸運餅乾	幸運餅乾 🥠
小餅乾	小餅乾 🥠 🍪
小幸運餅	小幸運餅 🥠
外賣盒	外賣盒 🥡
小外賣盒	小外賣盒 🥡
霜淇淋	霜淇淋 🍦
冰淇淋	冰淇淋 🍦 🍨
小霜淇淋	小霜淇淋 🍦
刨冰	刨冰 🍧
冰沙	冰沙 🍧
小刨冰	小刨冰 🍧
圓冰淇淋	圓冰淇淋 🍨
小冰淇淋	小冰淇淋 🍨
甜甜圈	甜甜圈 🍩
圓甜甜圈	圓甜甜圈 🍩
小甜甜圈	小甜甜圈 🍩
餅乾	餅乾 🍪
圓餅乾	圓餅乾 🍪
蛋糕	蛋糕 🎂
圓蛋糕	圓蛋糕 🎂
小蛋糕	小蛋糕 🎂 🍰 🧁
草莓蛋糕	草莓蛋糕 🍰
小草莓蛋糕	小草莓蛋糕 🍰
杯子蛋糕	杯子蛋糕 🧁
小杯子蛋糕	小杯子蛋糕 🧁
派	派 🥧
圓派	圓派 🥧
小派	小派 🥧
巧克力	巧克力 🍫
巧克力棒	巧克力棒 🍫
小巧克力	小巧克力 🍫
糖果	糖果 🍬 🍦 🍧 🍨 🍩 🍪 🎂 🍰 🧁 🥧 🍫 🍭 🍮 🍯
小糖果	小糖果 🍬
圓糖果	圓糖果 🍬
棒棒糖	棒棒糖 🍭
小棒棒糖	小棒棒糖 🍭
圓棒棒糖	圓棒棒糖 🍭
布丁	布丁 🍮
小布丁	小布丁 🍮
圓布丁	圓布丁 🍮
蜂蜜	蜂蜜 🍯
小蜂蜜	小蜂蜜 🍯
蜂蜜罐	蜂蜜罐 🍯
奶瓶	奶瓶 🍼
小奶瓶	小奶瓶 🍼
嬰兒奶瓶	嬰兒奶瓶 🍼
牛奶	牛奶 🥛
白牛奶	白牛奶 🥛
小牛奶	小牛奶 🥛
熱飲	熱飲 ☕
熱茶	熱茶 ☕
小熱飲	小熱飲 ☕
茶壺	茶壺 🫖
小茶壺	小茶壺 🫖
圓茶壺	圓茶壺 🫖
茶杯	茶杯 🍵
小茶杯	小茶杯 🍵
圓茶杯	圓茶杯 🍵
清酒	清酒 🍶
日本酒	日本酒 🍶
小清酒	小清酒 🍶
香檳	香檳 🍾
酒瓶	酒瓶 🍾
小香檳	小香檳 🍾
紅酒	紅酒 🍷
酒杯	酒杯 🍷 🍸 🍺 🥂 🥃
小紅酒	小紅酒 🍷
雞尾酒	雞尾酒 🍸
小雞尾酒	小雞尾酒 🍸
熱帶飲料	熱帶飲料 🍹
小飲料	小飲料 🍹
小熱帶飲料	小熱帶飲料 🍹
啤酒	啤酒 🍺
小啤酒	小啤酒 🍺
啤酒乾杯	啤酒乾杯 🍻
酒杯乾杯	酒杯乾杯 🍻
